Date,Close/Last,Volume,Open,High,Low
12/07/2023,31.04,1405132,31.58,31.65,30.93
11/07/2023,30.90,2577492,29.97,30.90,29.96
10/07/2023,29.73,1980948,29.39,29.81,29.23
07/07/2023,29.43,1793132,28.65,29.605,28.63
06/07/2023,28.61,906113,28.64,28.87,28.02
05/07/2023,28.89,1638486,29.41,29.445,28.87
03/07/2023,29.61,566866,29.31,29.71,29.21
30/06/2023,29.60,1014256,30.00,30.00,29.545
29/06/2023,29.69,967665,28.79,29.71,28.79
28/06/2023,28.93,1056075,29.11,29.11,28.7425
27/06/2023,29.13,2260200,28.78,29.34,28.52
26/06/2023,28.63,819327,28.26,28.97,28.26
23/06/2023,28.37,1664333,28.00,28.585,27.95
22/06/2023,28.46,1271242,29.31,29.35,28.43
21/06/2023,29.38,900328,28.72,29.445,28.64
20/06/2023,28.94,985492,28.79,29.01,28.61
16/06/2023,29.09,1537691,29.66,29.70,29.00
15/06/2023,29.44,1311085,29.06,29.63,28.74
14/06/2023,29.41,900566,29.87,29.945,29.06
13/06/2023,29.57,1079598,29.49,30.05,29.425
12/06/2023,29.27,862095,29.22,29.485,28.9559
09/06/2023,29.12,1152105,29.56,29.675,28.82
08/06/2023,29.85,1245464,29.78,30.16,29.54
07/06/2023,29.80,1912979,30.44,30.698,29.70
06/06/2023,30.25,1572549,29.04,30.39,29.04
05/06/2023,29.27,1469749,29.53,29.58,28.70
02/06/2023,29.53,3104824,27.22,29.58,27.03
01/06/2023,26.58,1577851,26.81,26.92,26.24
31/05/2023,26.56,6319706,27.15,27.38,26.50
30/05/2023,27.38,1322085,27.29,27.68,27.08
26/05/2023,27.19,1615464,26.88,27.45,26.805
25/05/2023,26.77,1549978,26.66,26.95,26.435
24/05/2023,26.88,753963,27.87,27.87,26.87
23/05/2023,27.81,1140464,27.86,28.2881,27.62
22/05/2023,27.99,993752,27.83,28.20,27.525
19/05/2023,27.78,1342022,28.75,28.83,27.45
18/05/2023,28.41,1392055,27.93,28.63,27.68
17/05/2023,27.89,2193930,26.81,27.97,26.57
16/05/2023,26.63,1294921,26.66,26.88,26.135
15/05/2023,27.03,2279319,25.87,27.05,25.69
12/05/2023,25.83,1147335,26.54,26.63,25.70
11/05/2023,26.46,2179231,26.38,26.84,26.33
10/05/2023,26.92,1949567,27.41,27.41,26.595
09/05/2023,26.84,2171671,27.14,27.425,26.40
08/05/2023,27.24,1796300,27.58,27.615,26.91
05/05/2023,27.21,3454773,26.60,27.345,26.01
04/05/2023,27.41,1805283,27.84,27.86,26.96
03/05/2023,27.94,1472653,28.24,28.61,27.90
02/05/2023,28.20,2328676,28.79,28.98,28.115
01/05/2023,29.03,852646,29.14,29.61,28.94
28/04/2023,29.06,3672656,28.78,29.455,28.78
27/04/2023,29.06,724600,28.67,29.11,28.35
26/04/2023,28.60,1033063,28.51,28.955,28.455
25/04/2023,28.85,902690,29.28,29.43,28.76
24/04/2023,29.77,996132,29.68,30.13,29.55
21/04/2023,29.53,1119288,29.70,29.85,29.135
20/04/2023,29.93,665474,29.76,29.95,29.5429
19/04/2023,30.04,822996,30.26,30.32,29.86
18/04/2023,30.56,738765,30.73,30.97,30.32
17/04/2023,30.64,765028,30.36,30.68,30.24
14/04/2023,30.44,1286940,30.68,31.095,30.11
13/04/2023,30.15,1635623,30.49,30.515,29.85
12/04/2023,30.45,1078438,30.29,30.65,30.00
11/04/2023,29.95,1448456,30.13,30.305,29.86
10/04/2023,29.86,1291321,28.40,29.90,28.40
06/04/2023,28.44,2390963,28.88,28.94,28.38
05/04/2023,28.84,1856056,29.39,29.50,28.37
04/04/2023,29.67,2111820,31.15,31.15,29.49
03/04/2023,31.42,2227919,31.15,31.80,30.62
31/03/2023,30.91,2427273,30.48,30.93,30.351
30/03/2023,30.08,1600859,30.00,30.25,29.49
29/03/2023,29.68,1131313,29.69,29.70,29.265
28/03/2023,29.30,966876,29.12,29.72,29.12
27/03/2023,29.23,1493463,29.78,29.79,28.76
24/03/2023,29.20,1348222,28.76,29.25,28.565
23/03/2023,29.40,1178428,29.75,30.3165,29.09
22/03/2023,29.74,1237826,30.72,30.72,29.69
21/03/2023,30.80,1621619,30.69,31.165,30.51
20/03/2023,29.96,1827472,29.59,30.395,29.41
